chromosome	start	end	count	lethal_mean	normal_mean	delta	F	pvalue	p_adj	DMR
chr22	41945508	41945674	5	0.8963	0.7908	0.1055	47.1719	0.00198	0.002746	True
chr22	41959179	41959622	9	0.6326	0.3318	0.3009	15.8958	0.0001267	0.0003337	True
chr22	41969571	41969968	12	0.9351	0.7916	0.1436	28.5284	4.538e-06	2.702e-05	True
chr22	41971561	41971755	8	0.903	0.782	0.121	22.4162	0.001311	0.001974	True
chr22	19620279	19620450	13	0.8451	0.4657	0.3794	75.8841	7.238e-13	3.566e-11	True
chr22	42021213	42021270	7	0.8669	0.9907	-0.1238	76.0136	1.245e-06	9.637e-06	True
chr22	19628274	19628734	10	0.7981	0.9323	-0.1341	20.1358	0.0005368	0.0009952	True
chr22	42078166	42078240	7	0.5311	0.4187	0.1125	30.1226	0.002229	0.003012	True
chr22	42078318	42078534	19	0.4363	0.5732	-0.1369	18.5088	1.249e-05	5.9e-05	True
chr22	42079034	42079246	6	0.6995	0.9519	-0.2524	54.4666	0.0001541	0.0003851	True
chr22	42095815	42095865	6	0.8851	0.779	0.1061	21.7149	0.008438	0.009314	True
chr22	42096382	42096483	5	0.9068	0.9793	-0.0724	37.2124	0.01604	0.01667	True
chr22	42102147	42102375	5	0.8451	0.9884	-0.1432	83.7035	7.069e-05	0.0002168	True
chr22	42115274	42115379	6	0.8783	0.9923	-0.114	54.6463	1.163e-05	5.612e-05	True
chr22	42119789	42120349	5	0.8465	0.9802	-0.1337	49.1902	0.0006343	0.001119	True
chr22	42125770	42126475	5	0.8437	0.9625	-0.1187	16.228	0.01008	0.01093	True
chr22	42138388	42138928	5	0.5602	0.8493	-0.2891	15.2484	0.01396	0.01469	True
chr22	42173455	42174715	6	0.8983	0.9838	-0.0855	20.4255	0.001924	0.002687	True
chr22	42179275	42179723	5	0.8994	0.7453	0.1541	16.8361	0.01336	0.01412	True
chr22	42184778	42185091	6	0.8791	0.9761	-0.097	28.0571	0.003211	0.00405	True
chr22	42211786	42212449	5	0.943	0.8316	0.1114	18.9426	0.02542	0.02575	True
chr22	42221951	42224066	22	0.8756	0.5899	0.2857	19.6725	3.613e-10	9.478e-09	True
chr22	42254869	42254995	5	0.8805	0.995	-0.1145	124.2579	2.904e-06	1.911e-05	True
chr22	42258759	42258957	5	0.824	0.6721	0.1519	20.9321	0.005522	0.006392	True
chr22	42292524	42292872	5	0.8517	0.9484	-0.0967	92.5674	6.732e-05	0.0002092	True
chr22	42295059	42295369	5	0.9415	0.8573	0.0842	24.4098	0.02177	0.0222	True
chr22	42299072	42299103	5	0.7649	0.4856	0.2793	16.3678	0.002871	0.0037	True
chr22	42299797	42299980	5	0.9413	0.7927	0.1486	16.0105	0.01822	0.01879	True
chr22	19649593	19649683	6	0.7832	0.6734	0.1098	20.7376	0.01875	0.01931	True
chr22	42310004	42310072	5	0.421	0.1764	0.2446	167.7674	7.343e-07	6.271e-06	True
chr22	42310133	42310358	37	0.2201	0.0427	0.1774	27.4674	6.475e-17	5.566e-15	True
chr22	42313055	42313292	6	0.7761	0.6392	0.1369	35.0812	0.0009367	0.001521	True
chr22	42316881	42317050	6	0.8889	0.7795	0.1094	18.858	0.01906	0.0196	True
chr22	42317560	42317623	5	0.8138	0.9964	-0.1826	366.7537	1.6e-08	2.708e-07	True
chr22	19653620	19653794	5	0.8794	0.9892	-0.1097	53.0411	0.0001951	0.0004609	True
chr22	42327470	42327933	6	0.8895	0.991	-0.1015	47.0634	3.275e-05	0.0001208	True
chr22	42327985	42328163	5	0.79	0.5393	0.2507	22.5026	0.001654	0.002381	True
chr22	42333685	42333878	5	0.7194	0.9424	-0.223	30.7141	0.001683	0.002413	True
chr22	42348377	42348453	5	0.9342	0.7841	0.1501	46.121	0.0005913	0.001066	True
chr22	42352306	42352637	5	0.7997	0.9318	-0.1321	15.9289	0.03032	0.03057	True
chr22	42367942	42368226	7	0.6718	0.949	-0.2772	23.901	4.991e-05	0.0001679	True
chr22	19657591	19658216	6	0.6694	0.9271	-0.2577	18.0551	0.001692	0.002421	True
chr22	42382385	42382526	5	0.8959	0.9942	-0.0984	89.2224	2.556e-05	0.0001003	True
chr22	19660108	19660279	5	0.8342	0.9722	-0.138	21.6022	0.003166	0.004001	True
chr22	42386475	42387188	6	0.8113	0.9715	-0.1603	15.2494	0.001115	0.001747	True
chr22	42394596	42394797	18	0.18	0.0727	0.1072	33.0964	1.764e-06	1.284e-05	True
chr22	42394963	42394998	5	0.2125	0.043	0.1696	33.876	0.001317	0.001981	True
chr22	42395033	42395081	6	0.166	0.2859	-0.1199	16.2741	0.02045	0.02091	True
chr22	42408724	42409282	7	0.8986	0.9762	-0.0776	36.1643	0.006484	0.007359	True
chr22	19665528	19665666	5	0.9702	0.8193	0.1508	21.5371	0.002165	0.002943	True
chr22	42459258	42459637	6	0.9432	0.661	0.2822	16.9411	0.0005943	0.00107	True
chr22	17602105	17602152	6	0.0283	0.1374	-0.1091	68.3745	0.0002428	0.0005428	True
chr22	42470202	42470261	7	0.1012	0.0067	0.0945	91.0331	2.508e-06	1.72e-05	True
chr22	19668019	19668333	8	0.781	0.9149	-0.1339	24.8218	0.003213	0.004052	True
chr22	42477982	42478330	5	0.8185	0.9795	-0.161	34.0454	0.0008395	0.001394	True
chr22	42505088	42505112	6	0.9005	0.7895	0.1111	16.3109	0.02079	0.02125	True
chr22	42513795	42514474	6	0.9434	0.7662	0.1772	18.4929	0.003136	0.00397	True
chr22	42523682	42523854	6	0.9762	0.8734	0.1027	45.6778	0.0003433	0.0007083	True
chr22	42525159	42525279	9	0.8699	0.5434	0.3264	22.821	5.936e-05	0.0001902	True
chr22	42530411	42530703	10	0.7922	0.9399	-0.1477	22.4584	0.0001517	0.0003806	True
chr22	42530738	42531151	9	0.6883	0.8757	-0.1874	17.2842	0.0005724	0.00104	True
chr22	42536293	42536372	6	0.9909	0.8605	0.1305	151.7364	9.283e-07	7.602e-06	True
chr22	42538894	42538957	5	0.9657	0.8613	0.1044	16.9995	0.009929	0.0108	True
chr22	42539240	42539327	5	0.9193	0.7899	0.1294	20.8679	0.008289	0.009159	True
chr22	19679183	19679307	6	0.5545	0.2616	0.2929	31.9232	0.0001274	0.0003353	True
chr22	42548445	42548538	10	0.8388	0.7049	0.1339	15.6299	0.002702	0.003523	True
chr22	42549108	42549189	7	0.8836	0.9927	-0.1091	63.6445	1.875e-06	1.348e-05	True
chr22	19679343	19679487	9	0.4686	0.1925	0.2761	47.7585	4.876e-07	4.519e-06	True
chr22	42571634	42572178	5	0.924	0.6796	0.2444	17.1239	0.002012	0.002783	True
chr22	42573416	42573955	7	0.956	0.6411	0.3149	24.1012	2.358e-05	9.387e-05	True
chr22	42579425	42579817	5	0.6883	0.4672	0.2211	26.4094	0.001448	0.002142	True
chr22	42603209	42603441	5	0.8039	0.955	-0.151	22.4537	0.004345	0.005206	True
chr22	19682621	19682841	6	0.877	0.9861	-0.109	43.4735	0.0001247	0.000329	True
chr22	17602359	17602426	8	0.1928	0.0102	0.1827	65.2015	8.9e-08	1.141e-06	True
chr22	19683715	19683878	6	0.8244	0.9666	-0.1422	21.4732	0.001718	0.002454	True
chr22	42669855	42670166	10	0.8993	0.727	0.1722	18.722	0.0003768	0.0007578	True
chr22	42679745	42679755	5	0.0441	0.2041	-0.1599	21.6085	0.002441	0.003241	True
chr22	17602840	17602942	7	0.7389	0.2531	0.4858	16.5372	0.0002302	0.000523	True
chr22	42685734	42685902	7	0.8339	0.4558	0.3781	26.5604	1.572e-05	7.001e-05	True
chr22	42685936	42686073	15	0.8873	0.6842	0.2031	24.9479	8.797e-08	1.139e-06	True
chr22	42705019	42705091	5	0.9635	0.8627	0.1008	41.2121	0.002094	0.002874	True
chr22	42710115	42710465	15	0.2854	0.1608	0.1247	18.9036	0.0001607	0.000397	True
chr22	42712772	42715423	59	0.7631	0.3575	0.4056	16.5601	5.286e-24	7.91e-22	True
chr22	42717199	42717291	5	0.8904	0.7851	0.1052	21.2605	0.0116	0.01241	True
chr22	42718232	42718501	6	0.8483	0.5882	0.2601	56.0332	9.45e-06	4.767e-05	True
chr22	42727958	42728122	5	0.7248	0.9192	-0.1944	21.6765	0.00924	0.0101	True
chr22	42734673	42735141	14	0.911	0.7872	0.1238	15.0723	0.0003857	0.0007721	True
chr22	42736971	42737420	25	0.7246	0.3219	0.4027	35.3699	2.823e-17	2.592e-15	True
chr22	42738431	42738708	5	0.9233	0.8238	0.0994	24.2999	0.0163	0.01692	True
chr22	42739286	42739314	6	0.1741	0.3578	-0.1837	18.0488	0.003768	0.004626	True
chr22	42766502	42767603	11	0.9488	0.8156	0.1332	26.302	6.521e-05	0.0002041	True
chr22	42781122	42781683	8	0.8693	0.9642	-0.0949	15.4107	0.003908	0.004752	True
chr22	42784787	42785298	7	0.9467	0.7879	0.1589	35.8723	0.0001587	0.0003939	True
chr22	42786854	42787122	9	0.8352	0.9656	-0.1304	37.6795	6.18e-05	0.0001957	True
chr22	42806871	42807093	6	0.9	0.5859	0.3141	16.1889	0.0005572	0.001023	True
chr22	42808014	42808351	6	0.8998	0.9939	-0.0941	90.5363	4.496e-06	2.687e-05	True
chr22	42808859	42809236	9	0.7048	0.2348	0.47	28.1071	5.525e-07	4.972e-06	True
chr22	42814741	42815458	18	0.7155	0.373	0.3425	16.8215	2.169e-08	3.519e-07	True
chr22	42815609	42815828	12	0.8163	0.4148	0.4015	72.644	8.565e-13	4.071e-11	True
chr22	42817285	42817405	5	0.8827	0.9876	-0.1049	60.7481	0.0001571	0.000391	True
chr22	42821195	42822620	22	0.8222	0.459	0.3632	17.1155	1.512e-09	3.452e-08	True
chr22	42822858	42823140	7	0.7145	0.912	-0.1975	20.1092	0.0005216	0.000972	True
chr22	42828026	42828580	24	0.7504	0.2353	0.5151	25.8802	8.266e-14	4.394e-12	True
chr22	42830048	42831069	29	0.6816	0.3215	0.3601	16.9504	8.915e-13	4.14e-11	True
chr22	42848106	42848219	5	0.8735	0.9846	-0.1111	52.8601	0.0004564	0.0008752	True
chr22	42855592	42856122	14	0.7643	0.3408	0.4235	15.5787	4.511e-07	4.314e-06	True
chr22	42896443	42896489	5	0.1159	0.0103	0.1056	24.7419	0.0003296	0.0006873	True
chr22	42904506	42905407	7	0.6274	0.3154	0.312	16.9069	0.000619	0.001101	True
chr22	42917736	42918204	5	0.8753	0.9837	-0.1083	35.2536	0.001296	0.001962	True
chr22	42918748	42918848	5	0.969	0.7422	0.2268	19.5518	0.0003606	0.0007364	True
chr22	42934429	42934559	6	0.8367	0.984	-0.1472	111.646	8.255e-06	4.281e-05	True
chr22	19705448	19705464	5	0.0955	0.1884	-0.0929	20.0825	0.02822	0.02851	True
chr22	42944822	42944988	6	0.858	0.9842	-0.1262	84.1934	4.128e-05	0.000143	True
chr22	42956460	42956610	5	0.6692	0.3909	0.2783	20.077	0.002248	0.003029	True
chr22	42956834	42957003	5	0.6139	0.3556	0.2583	30.2754	0.0006172	0.001098	True
chr22	42965918	42966291	6	0.8487	0.9539	-0.1052	18.233	0.02333	0.02374	True
chr22	42981188	42981530	7	0.9214	0.7962	0.1252	30.6074	0.001397	0.002078	True
chr22	42989023	42989510	5	0.9674	0.7479	0.2195	27.2242	0.0007197	0.001238	True
chr22	42990221	42990314	5	0.8879	0.9889	-0.101	44.8069	0.0002593	0.0005732	True
chr22	42995018	42995284	5	0.8197	0.968	-0.1483	26.0289	0.002901	0.003732	True
chr22	43013382	43013771	8	0.8172	0.5736	0.2436	15.2146	0.000525	0.0009769	True
chr22	43023255	43023408	5	0.9439	0.846	0.0979	18.4095	0.01959	0.02011	True
chr22	19707653	19707728	5	0.9406	0.8196	0.121	21.7567	0.0197	0.02021	True
chr22	43056208	43056488	5	0.7742	0.503	0.2712	22.5575	0.001177	0.001823	True
chr22	43058482	43058558	10	0.1812	0.0622	0.119	16.8165	0.002109	0.002886	True
chr22	19709523	19709678	5	0.9141	0.7863	0.1277	20.3756	0.01254	0.01335	True
chr22	43079771	43080278	8	0.7809	0.3269	0.454	20.3653	1.677e-05	7.35e-05	True
chr22	43087945	43088077	5	0.8773	0.7737	0.1036	23.9515	0.01194	0.01275	True
chr22	43091249	43091898	14	0.8254	0.4462	0.3792	16.6757	1.714e-06	1.259e-05	True
chr22	43094924	43095158	6	0.6535	0.1513	0.5022	16.7936	0.00039	0.0007793	True
chr22	43095382	43095741	10	0.7284	0.2707	0.4577	15.4941	7.424e-06	3.948e-05	True
chr22	43098758	43098809	5	0.9623	0.8706	0.0917	26.7779	0.007165	0.00805	True
chr22	43115999	43116196	16	0.163	0.0438	0.1192	24.1476	2.869e-06	1.899e-05	True
chr22	43116932	43116963	6	0.0112	0.1196	-0.1084	46.0421	6.281e-05	0.0001984	True
chr22	43119661	43119876	5	0.8185	0.9693	-0.1507	40.1407	0.000954	0.001543	True
chr22	43128097	43128278	6	0.8644	0.5826	0.2818	25.0941	0.003117	0.00396	True
chr22	19711150	19711257	6	0.2003	0.3123	-0.1119	26.6232	0.0044	0.005266	True
chr22	43165058	43165143	6	0.9281	0.8309	0.0971	36.3499	0.001176	0.001822	True
chr22	19711449	19711540	14	0.0869	0.2325	-0.1456	55.5382	6.672e-09	1.308e-07	True
chr22	43165956	43166060	9	0.3631	0.5665	-0.2033	34.762	1.009e-05	5.024e-05	True
chr22	43166204	43166269	5	0.3297	0.1894	0.1403	19.5645	0.01646	0.01707	True
chr22	43169190	43169367	6	0.8082	0.6333	0.1749	17.6621	0.01037	0.01122	True
chr22	19711605	19711690	13	0.1003	0.2031	-0.1027	32.209	1.364e-05	6.303e-05	True
chr22	43192415	43192802	7	0.7737	0.9367	-0.163	16.288	0.002323	0.003114	True
chr22	43193949	43194430	7	0.8333	0.97	-0.1367	16.7685	0.001476	0.002171	True
chr22	43199416	43199774	7	0.5988	0.4183	0.1805	15.1092	0.004902	0.005769	True
chr22	43200445	43200544	5	0.8062	0.9734	-0.1671	15.4451	0.001966	0.002729	True
chr22	43201758	43202028	6	0.102	0.2309	-0.1289	95.8666	5.835e-06	3.252e-05	True
chr22	43209008	43209646	5	0.8749	0.7754	0.0996	47.3076	0.002053	0.00283	True
chr22	19713748	19713774	5	0.6726	0.851	-0.1785	16.8124	0.0073	0.008179	True
chr22	43266058	43266133	10	0.9346	0.8156	0.119	22.8909	0.0003328	0.0006925	True
chr22	43267133	43267198	5	0.9699	0.8105	0.1594	51.1723	7.543e-05	0.0002269	True
chr22	19713877	19713917	5	0.801	0.6755	0.1256	42.6955	0.002025	0.002797	True
chr22	19713919	19713997	11	0.8297	0.9921	-0.1624	77.3071	6.542e-11	2.149e-09	True
chr22	43281729	43282006	5	0.9563	0.8425	0.1138	30.441	0.00374	0.004598	True
chr22	43285720	43286295	7	0.9573	0.7788	0.1786	33.9157	0.000169	0.0004135	True
chr22	19714472	19714526	6	0.7564	0.9109	-0.1546	28.6232	0.008483	0.009354	True
chr22	43291399	43291836	6	0.7599	0.3998	0.3601	17.2333	0.0004377	0.0008535	True
chr22	43294608	43294878	6	0.925	0.8158	0.1091	22.749	0.003952	0.004795	True
chr22	19714621	19714704	11	0.7957	0.949	-0.1533	15.5385	0.0001523	0.0003813	True
chr22	43301309	43301383	9	0.4286	0.703	-0.2743	24.2058	5.876e-05	0.000189	True
chr22	43314630	43315331	11	0.8221	0.3336	0.4885	20.4093	1.964e-06	1.409e-05	True
chr22	43348642	43348860	5	0.8035	0.9786	-0.1752	22.2084	0.000658	0.001151	True
chr22	43363071	43363375	6	0.9365	0.7863	0.1502	49.3601	0.0001192	0.0003192	True
chr22	43391171	43391620	5	0.188	0.0129	0.1751	57.3721	4.192e-05	0.0001449	True
chr22	43396383	43397082	8	0.9237	0.768	0.1558	15.2776	0.002939	0.003773	True
chr22	43399854	43400008	5	0.8588	0.6596	0.1992	42.1095	0.0003201	0.0006735	True
chr22	43426122	43426255	6	0.846	0.9796	-0.1336	25.9915	0.0005534	0.001019	True
chr22	43429222	43429712	8	0.8373	0.9775	-0.1403	22.7369	7.093e-05	0.0002172	True
chr22	43434457	43434515	7	0.6395	0.8656	-0.2261	25.7081	0.003091	0.003932	True
chr22	43438328	43438507	6	0.1353	0.0281	0.1072	58.9905	0.0004208	0.0008277	True
chr22	43443764	43444195	10	0.8661	0.9811	-0.1151	22.7811	1.389e-05	6.393e-05	True
chr22	43462924	43463330	9	0.7657	0.3936	0.372	20.9633	3.274e-05	0.0001208	True
chr22	43465545	43465633	6	0.9102	0.7257	0.1845	21.9979	0.001906	0.00267	True
chr22	43465800	43465994	6	0.9402	0.8065	0.1337	17.626	0.004348	0.005208	True
chr22	43471043	43471271	5	0.9451	0.8213	0.1238	29.8057	0.005089	0.005954	True
chr22	43475056	43475144	6	0.9811	0.8808	0.1004	24.0991	0.001802	0.00255	True
chr22	43488189	43488305	5	0.8117	0.9667	-0.155	85.781	0.000285	0.000617	True
chr22	19724387	19724451	8	0.8742	0.7404	0.1338	22.541	0.002153	0.00293	True
chr22	43508265	43508348	6	0.582	0.973	-0.391	86.9379	1.727e-06	1.264e-05	True
chr22	43509343	43509571	6	0.3582	0.7194	-0.3612	31.5055	0.0001131	0.0003082	True
chr22	43509649	43510035	7	0.1923	0.3839	-0.1916	23.7086	0.0006416	0.001129	True
chr22	19725043	19725148	6	0.9328	0.8297	0.1031	27.4947	0.004159	0.005017	True
chr22	43549820	43550103	7	0.8847	0.6145	0.2702	16.9727	0.0005868	0.001061	True
chr22	43551765	43552065	6	0.8743	0.7191	0.1553	22.9332	0.003603	0.004462	True
chr22	43552335	43552455	5	0.911	0.6705	0.2405	15.0464	0.00902	0.009881	True
chr22	43553563	43553948	7	0.8635	0.9916	-0.1281	51.1945	1.134e-06	8.932e-06	True
chr22	43560962	43561011	5	0.1849	0.0516	0.1333	40.0838	0.00547	0.006341	True
chr22	43570278	43570430	10	0.8658	0.7505	0.1153	15.092	0.004943	0.005804	True
chr22	19732588	19732789	6	0.6694	0.3937	0.2757	17.0407	0.001123	0.001754	True
chr22	43580070	43580318	7	0.8057	0.9506	-0.145	22.4795	0.002017	0.002787	True
chr22	43580717	43580966	7	0.8377	0.9658	-0.1281	27.1089	0.0006299	0.001114	True
chr22	43608625	43608734	7	0.8392	0.9625	-0.1234	20.2512	0.002978	0.003808	True
chr22	43615334	43615464	6	0.5982	0.8944	-0.2962	80.8741	1.08e-06	8.523e-06	True
chr22	43616743	43616887	5	0.8926	0.7983	0.0943	24.8558	0.0144	0.01514	True
chr22	43638895	43639265	10	0.9263	0.7681	0.1582	23.7537	0.0001017	0.0002836	True
chr22	43646898	43647220	5	0.8631	0.9766	-0.1134	36.4023	0.001892	0.002653	True
chr22	43650624	43650717	5	0.9672	0.8637	0.1035	22.0758	0.009674	0.01055	True
chr22	43651715	43651798	5	0.8136	0.9454	-0.1318	111.4006	0.0001316	0.0003434	True
chr22	19742317	19743353	79	0.6824	0.099	0.5833	26.0763	8.273e-45	4.775e-42	True
chr22	19743407	19743894	20	0.6407	0.1813	0.4594	37.0357	8.904e-13	4.14e-11	True
chr22	43664652	43664823	5	0.8771	0.9753	-0.0982	24.6853	0.002915	0.003746	True
chr22	43668110	43668316	6	0.9139	0.8071	0.1068	18.11	0.01219	0.01301	True
chr22	43668882	43668971	5	0.4098	0.8714	-0.4617	39.4543	3.226e-05	0.0001195	True
chr22	43670991	43671185	8	0.8734	0.6937	0.1797	55.1588	2.158e-05	8.833e-05	True
chr22	19744461	19744514	6	0.024	0.1063	-0.0823	21.673	0.003999	0.004845	True
chr22	43693641	43693856	5	0.1947	0.0327	0.162	45.5102	0.001243	0.001897	True
chr22	43698892	43699019	6	0.8475	0.9639	-0.1164	77.2455	0.0003189	0.0006722	True
chr22	19746238	19746368	17	0.7968	0.4941	0.3027	24.2162	5.037e-09	1.007e-07	True
chr22	43700999	43701108	5	0.9706	0.7577	0.2129	1107.4251	2.012e-10	5.606e-09	True
chr22	19746446	19747547	61	0.7398	0.4539	0.2859	17.2233	5.411e-23	7.052e-21	True
chr22	43709164	43709396	5	0.9349	0.8049	0.13	21.2814	0.0163	0.01692	True
chr22	43721841	43721908	5	0.8607	0.9752	-0.1145	21.5001	0.003748	0.004606	True
chr22	43729342	43730243	12	0.811	0.9647	-0.1537	16.1006	1.412e-05	6.454e-05	True
chr22	43738314	43738390	7	0.304	0.0946	0.2094	26.4773	0.0002246	0.0005132	True
chr22	43739932	43740013	8	0.4989	0.1299	0.369	29.3404	2.872e-06	1.899e-05	True
chr22	43743569	43743857	6	0.7449	0.9574	-0.2125	18.9291	0.001079	0.001701	True
chr22	43758615	43758953	5	0.8994	0.9941	-0.0947	73.5567	3.462e-05	0.0001266	True
chr22	43759311	43759431	9	0.7874	0.9562	-0.1688	24.9298	0.0001089	0.0002996	True
chr22	43769352	43769546	5	0.8004	0.9866	-0.1862	44.3753	5.492e-05	0.0001801	True
chr22	43774999	43775479	6	0.9464	0.7191	0.2273	18.243	0.0005505	0.001016	True
chr22	43778079	43778555	5	0.6002	0.9496	-0.3493	17.9341	0.0009409	0.001527	True
chr22	43801430	43801887	7	0.9519	0.8445	0.1074	24.023	0.0007977	0.001342	True
chr22	19749610	19750692	36	0.5197	0.8439	-0.3243	17.9774	4.742e-15	2.994e-13	True
chr22	19750765	19750918	12	0.9168	0.8072	0.1096	29.0443	0.0001826	0.0004386	True
