chromosome	start	end	count	lethal_mean	normal_mean	delta	F	pvalue	p_adj	DMR
chr21	15448688	15448907	12	0.834	0.9667	0.1328	36.6689	1.404e-06	9.995e-06	True
chr21	15449791	15449921	7	0.8663	0.9768	0.1106	25.4892	0.0006239	0.0009937	True
chr21	15451310	15451401	6	0.8553	0.9798	0.1245	39.2848	0.0003908	0.0006953	True
chr21	15451505	15451521	5	0.837	0.9946	0.1575	82.2117	2.47e-06	1.578e-05	True
chr21	15452109	15452550	17	0.8015	0.9794	0.178	28.3163	1.457e-10	3.954e-09	True
chr21	15454545	15454840	10	0.7646	0.9601	0.1955	19.1653	2.647e-05	9.31e-05	True
chr21	15455666	15455864	8	0.7323	0.9727	0.2404	68.8707	1.291e-06	9.32e-06	True
chr21	15455898	15456337	21	0.7707	0.9684	0.1976	34.3118	1.906e-12	8.395e-11	True
chr21	15456435	15456553	8	0.8284	0.9418	0.1135	32.7241	0.0005773	0.0009359	True
chr21	15456577	15456730	10	0.8266	0.9612	0.1346	41.3063	9.208e-06	4.279e-05	True
chr21	15457003	15457150	6	0.7472	0.873	0.1257	18.8088	0.008092	0.008683	True
chr21	15460229	15460271	5	0.7542	0.9899	0.2358	35.7984	1.151e-05	5.034e-05	True
chr21	15468864	15469279	8	0.7175	0.9701	0.2526	31.6699	6.02e-06	3.044e-05	True
chr21	15486892	15487539	8	0.7266	0.9614	0.2347	22.3832	3.543e-05	0.0001166	True
chr21	15493498	15493950	5	0.2823	0.9169	0.6346	20.9686	0.001159	0.001623	True
chr21	15496742	15496980	5	0.5513	0.9615	0.4102	15.5991	0.0002671	0.0005248	True
chr21	15507640	15508996	10	0.3207	0.8311	0.5103	16.8311	2.682e-05	9.379e-05	True
chr21	15588895	15589305	14	0.1389	0.0166	-0.1223	37.499	4.158e-08	5.666e-07	True
chr21	15603619	15605082	7	0.5236	0.9217	0.3981	35.5147	4.184e-05	0.0001313	True
chr21	15605357	15607481	16	0.4802	0.9255	0.4453	19.4348	2.741e-09	5.174e-08	True
chr21	15630313	15630355	5	0.6637	0.9641	0.3004	42.7303	0.0001284	0.0003013	True
chr21	15646460	15646568	5	0.1542	0.2591	0.1049	23.3234	0.01732	0.01772	True
chr21	15654993	15655248	9	0.8159	0.975	0.1591	17.0612	4.59e-05	0.000141	True
chr21	15668271	15669040	5	0.7623	0.965	0.2026	31.33	0.0009204	0.001345	True
chr21	15673417	15673546	5	0.7212	0.9445	0.2233	16.7626	0.01261	0.01313	True
chr21	15693403	15693852	5	0.5201	0.9638	0.4438	44.6368	5.887e-05	0.0001708	True
chr21	15699330	15699709	5	0.5985	0.9621	0.3636	17.3854	0.0002777	0.0005402	True
chr21	15719544	15719711	6	0.711	0.9787	0.2676	57.3486	5.647e-06	2.899e-05	True
chr21	15836443	15836877	5	0.7836	0.9774	0.1938	23.3296	0.000503	0.0008389	True
chr21	15855227	15855908	12	0.8659	0.9833	0.1174	23.8388	4.054e-07	3.745e-06	True
chr21	15890206	15890629	8	0.7324	0.978	0.2455	29.4937	1.571e-06	1.095e-05	True
chr21	15942525	15943409	6	0.8096	0.9807	0.1711	35.7079	7.938e-05	0.0002135	True
chr21	15976593	15977603	7	0.8694	0.9647	0.0953	20.1003	0.008518	0.009108	True
chr21	16008722	16009081	8	0.8548	0.9911	0.1364	72.8473	1.301e-07	1.466e-06	True
chr21	16015961	16016151	6	0.8942	0.9886	0.0944	40.2639	0.0001737	0.0003777	True
chr21	16050353	16050598	5	0.7753	0.9675	0.1922	64.5713	0.0004307	0.0007459	True
chr21	16050994	16052053	8	0.7828	0.9488	0.166	16.1037	0.001318	0.001809	True
chr21	16056410	16056957	5	0.8648	0.984	0.1192	62.5878	0.0003741	0.0006754	True
chr21	16136601	16136960	5	0.8956	0.9908	0.0953	77.4941	0.0002961	0.0005676	True
chr21	16213550	16213715	5	0.8752	0.6565	-0.2187	18.9475	0.005943	0.00658	True
chr21	16225734	16226697	5	0.8917	0.9919	0.1002	87.4073	5.939e-05	0.0001716	True
chr21	16273644	16274449	5	0.8929	0.994	0.1011	54.7947	2.774e-05	9.644e-05	True
chr21	16290911	16291355	6	0.8787	0.7058	-0.1729	24.7833	0.00142	0.001915	True
chr21	16374422	16374640	6	0.4683	0.8786	0.4102	18.6787	0.0002338	0.0004757	True
chr21	16374706	16374858	5	0.7183	0.9316	0.2133	20.1362	0.004725	0.005363	True
chr21	16377761	16378209	7	0.6922	0.3112	-0.381	17.2497	0.0002303	0.0004703	True
chr21	16418707	16419396	6	0.8652	0.9867	0.1215	24.8089	0.0001711	0.0003746	True
chr21	16443672	16444149	7	0.929	0.8246	-0.1044	18.5988	0.007344	0.00796	True
chr21	16512372	16512648	5	0.7259	0.4817	-0.2442	18.1653	0.003053	0.003656	True
chr21	16513725	16514163	5	0.3889	0.6843	0.2955	15.8782	0.003511	0.004119	True
chr21	16522716	16523331	5	0.8394	0.9835	0.1441	29.6897	0.0004652	0.000789	True
chr21	16577212	16577548	7	0.9382	0.6653	-0.2729	22.1105	0.0001154	0.0002774	True
chr21	16620572	16620865	5	0.8787	0.9923	0.1137	81.4227	2.935e-05	0.0001003	True
chr21	16657929	16658459	5	0.4306	0.9404	0.5098	23.1052	0.0001777	0.0003832	True
chr21	16662353	16662645	7	0.8741	0.7469	-0.1272	15.9226	0.01529	0.01575	True
chr21	16679670	16680107	7	0.826	0.9758	0.1498	18.0236	0.0002309	0.000471	True
chr21	16730331	16730961	5	0.3852	0.7198	0.3346	16.1003	0.002516	0.003094	True
chr21	16755240	16755727	5	0.7871	0.9623	0.1752	15.8788	0.004094	0.004721	True
chr21	16776498	16776628	5	0.9019	0.9941	0.0921	66.195	3.947e-05	0.0001259	True
chr21	16793633	16794121	7	0.9219	0.677	-0.245	15.1427	0.0008788	0.001293	True
chr21	16817886	16818658	6	0.8469	0.9822	0.1353	17.567	0.0004241	0.0007389	True
chr21	16842779	16843252	6	0.9634	0.8686	-0.0948	17.8093	0.0246	0.02492	True
chr21	16877241	16877836	5	0.7328	0.9913	0.2585	48.1206	3.832e-06	2.218e-05	True
chr21	16880348	16881191	6	0.6813	0.9537	0.2724	29.7626	0.0002964	0.0005676	True
chr21	16906394	16906657	5	0.6194	0.898	0.2786	17.6218	0.00515	0.005792	True
chr21	17018328	17019043	5	0.9577	0.8059	-0.1519	26.3158	0.003348	0.003948	True
chr21	17036195	17036813	6	0.8591	0.9563	0.0971	41.2913	0.001488	0.001985	True
chr21	17191552	17192502	5	0.7372	0.9886	0.2515	51.7812	8.771e-06	4.12e-05	True
chr21	17371845	17372380	5	0.8401	0.9916	0.1515	42.3302	2.982e-05	0.0001016	True
chr21	17442567	17444447	23	0.6737	0.1593	-0.5144	19.2113	9.431e-13	4.549e-11	True
chr21	17445561	17446064	11	0.7875	0.4722	-0.3153	34.8429	5.762e-08	7.419e-07	True
chr21	17493848	17494493	6	0.8936	0.9813	0.0876	48.0423	0.002588	0.003179	True
chr21	17550141	17551100	7	0.8254	0.9648	0.1394	32.0043	0.0004491	0.0007676	True
chr21	17562014	17562495	9	0.8247	0.9702	0.1455	24.5809	7.798e-05	0.0002103	True
chr21	17566460	17567318	13	0.584	0.1254	-0.4586	17.4818	2.33e-07	2.342e-06	True
chr21	17594475	17595076	5	0.6548	0.9898	0.335	48.7066	2.877e-06	1.78e-05	True
chr21	17651999	17652590	15	0.7132	0.3041	-0.4091	15.0876	6.146e-07	5.174e-06	True
chr21	17678200	17678353	5	0.7026	0.2367	-0.4659	17.8292	0.00114	0.001605	True
chr21	17740428	17740995	5	0.8814	0.9942	0.1128	85.8481	1.514e-05	6.119e-05	True
chr21	17749561	17749903	5	0.8746	0.5912	-0.2834	45.4111	0.0003392	0.0006266	True
chr21	17828536	17828700	5	0.7739	0.5819	-0.192	17.6582	0.008282	0.008868	True
chr21	17858240	17858521	5	0.8575	0.9894	0.1319	25.4916	0.0001559	0.0003498	True
chr21	17911917	17912245	5	0.9611	0.6037	-0.3574	35.1034	6.894e-05	0.000191	True
chr21	18006463	18007092	7	0.8539	0.3443	-0.5097	18.4237	4.57e-05	0.0001406	True
chr21	18040425	18040879	7	0.7335	0.9679	0.2344	29.8871	4.394e-05	0.0001365	True
chr21	18054535	18054855	5	0.589	0.8745	0.2856	15.3756	0.002788	0.003388	True
chr21	18066493	18067116	5	0.7354	0.9751	0.2398	40.5411	0.000169	0.0003714	True
chr21	18113022	18113294	5	0.9477	0.6183	-0.3294	21.2811	0.0006208	0.0009898	True
chr21	18141667	18142486	5	0.5356	0.8849	0.3493	16.2119	0.001801	0.002331	True
chr21	18174153	18174568	5	0.8199	0.9792	0.1593	23.213	0.0008745	0.001288	True
chr21	18191197	18191411	5	0.8419	0.9783	0.1364	26.2649	0.0006609	0.001034	True
chr21	18194694	18195743	6	0.7168	0.9678	0.251	20.1365	0.000262	0.0005181	True
chr21	18224591	18225293	5	0.7101	0.9947	0.2846	99.7241	1.709e-07	1.824e-06	True
chr21	18232289	18232892	6	0.894	0.9734	0.0794	15.5998	0.01659	0.017	True
chr21	18317538	18318239	6	0.8119	0.9557	0.1438	21.3546	0.002933	0.003536	True
chr21	18421401	18421796	7	0.7544	0.9328	0.1784	20.3822	0.001768	0.002298	True
chr21	18505232	18505983	5	0.8723	0.9906	0.1182	64.791	7.433e-05	0.0002028	True
chr21	18679180	18679663	6	0.8337	0.9631	0.1295	28.1149	0.001716	0.002243	True
chr21	18699075	18699654	5	0.7734	0.963	0.1896	19.0885	0.00281	0.003408	True
chr21	18767390	18767937	5	0.9855	0.8857	-0.0997	30.261	0.001408	0.0019	True
chr21	18816129	18816247	5	0.8788	0.4499	-0.429	18.6395	0.0007495	0.001141	True
chr21	18826985	18827221	18	0.7466	0.2601	-0.4865	27.9907	2.269e-11	7.415e-10	True
chr21	18831143	18831354	5	0.8974	0.9945	0.0971	68.7047	1.99e-05	7.513e-05	True
chr21	18864837	18865883	7	0.9279	0.7632	-0.1647	39.3793	0.0002137	0.0004424	True
chr21	18887404	18887575	5	0.8935	0.9677	0.0742	16.7691	0.04079	0.04087	True
chr21	18912421	18912720	7	0.6377	0.9389	0.3012	20.8407	0.0001463	0.0003333	True
chr21	18943332	18943468	5	0.9564	0.5231	-0.4333	21.4207	0.0001491	0.0003376	True
chr21	18957860	18957904	6	0.7094	0.9857	0.2763	31.6127	5.236e-06	2.734e-05	True
chr21	18985440	18985461	6	0.1981	0.0093	-0.1888	63.0378	1.471e-06	1.038e-05	True
chr21	18985477	18985860	28	0.5956	0.1051	-0.4905	44.4848	1.787e-21	2.088e-19	True
chr21	19012906	19014667	8	0.8582	0.9547	0.0966	17.0763	0.004093	0.004721	True
chr21	19023292	19023494	5	0.8679	0.969	0.1011	25.385	0.01069	0.01125	True
chr21	19048895	19049253	6	0.7976	0.9717	0.1741	49.5418	0.0001008	0.0002515	True
chr21	19065743	19066128	10	0.8385	0.9847	0.1462	30.7459	6.379e-07	5.316e-06	True
chr21	19070443	19070623	5	0.8557	0.9912	0.1356	89.1535	1.467e-05	5.994e-05	True
chr21	19071726	19072239	6	0.6678	0.8712	0.2034	25.1341	0.001128	0.001592	True
chr21	19077106	19077603	6	0.8263	0.9527	0.1264	32.0334	0.001998	0.002543	True
chr21	19093456	19093543	6	0.8498	0.9922	0.1424	65.2658	4.254e-06	2.381e-05	True
chr21	19106425	19107033	6	0.8439	0.9918	0.1479	135.1927	5.545e-07	4.815e-06	True
chr21	19119793	19120032	5	0.7958	0.9831	0.1873	35.9524	0.0001088	0.0002661	True
chr21	19139404	19139738	6	0.8343	0.9655	0.1313	18.5517	0.002966	0.003569	True
chr21	19151931	19152507	7	0.8178	0.9727	0.1549	47.2083	6.466e-05	0.0001836	True
chr21	19218089	19218489	6	0.766	0.9624	0.1964	33.8597	0.0004965	0.0008291	True
chr21	19224530	19225564	5	0.6673	0.9701	0.3028	16.5991	0.0003306	0.0006164	True
chr21	19228644	19229418	11	0.7119	0.9405	0.2286	15.3789	0.0001423	0.000325	True
chr21	19246205	19247024	6	0.8205	0.9652	0.1447	17.1095	0.002684	0.003274	True
chr21	19250486	19250625	5	0.835	0.9807	0.1457	29.2876	0.0008315	0.001236	True
chr21	19250810	19252567	17	0.5601	0.9241	0.364	16.0027	8.405e-09	1.427e-07	True
chr21	19254793	19255206	5	0.7573	0.9552	0.198	43.1968	0.0005348	0.0008818	True
chr21	19256838	19256969	6	0.8381	0.9663	0.1282	21.2658	0.00307	0.003667	True
chr21	19257470	19258310	5	0.3384	0.9123	0.5739	45.923	5.517e-05	0.0001624	True
chr21	19264054	19264515	6	0.7824	0.9705	0.1881	20.6001	0.0004265	0.0007416	True
chr21	19265291	19265925	5	0.7352	0.9771	0.2419	34.2188	0.0001574	0.0003513	True
chr21	19285942	19286513	7	0.6021	0.8848	0.2828	19.9538	0.0007382	0.001128	True
chr21	19286683	19287475	6	0.7018	0.9569	0.255	34.4979	0.0001854	0.0003959	True
chr21	19288118	19288280	5	0.6485	0.9819	0.3334	178.8956	5.098e-06	2.694e-05	True
chr21	19308604	19309130	6	0.4991	0.9439	0.4449	29.2843	6.872e-05	0.0001907	True
chr21	19315974	19316807	6	0.7336	0.9611	0.2275	20.4324	0.0003952	0.0007011	True
chr21	19337886	19338636	6	0.7059	0.9583	0.2524	31.1216	0.0001359	0.000314	True
chr21	19349825	19350017	7	0.8883	0.9883	0.1001	27.9984	4.423e-05	0.000137	True
chr21	19350725	19350773	7	0.897	0.9943	0.0974	92.4479	5.921e-07	5.047e-06	True
chr21	19365212	19365269	6	0.6966	0.9868	0.2903	59.4986	1.221e-06	8.924e-06	True
chr21	19366609	19367476	11	0.79	0.9454	0.1554	31.535	1.386e-05	5.777e-05	True
chr21	19371167	19371912	5	0.6298	0.9206	0.2908	33.2892	0.001047	0.001494	True
chr21	19375018	19375178	5	0.8279	0.9869	0.159	333.1599	5.566e-06	2.862e-05	True
chr21	19402396	19402833	6	0.6486	0.8783	0.2297	15.8699	0.005783	0.006417	True
chr21	19422827	19423744	6	0.4684	0.9309	0.4625	15.5129	0.0002486	0.0004961	True
chr21	19434659	19434821	5	0.7401	0.949	0.2089	43.2198	0.0007265	0.001113	True
chr21	19438789	19439759	6	0.675	0.9087	0.2338	20.4962	0.0009967	0.001438	True
chr21	19463324	19463721	5	0.7434	0.9323	0.1889	42.3964	0.003424	0.004027	True
chr21	19483596	19484054	5	0.736	0.9922	0.2562	56.2793	2.273e-06	1.479e-05	True
chr21	19496471	19496704	5	0.7027	0.9351	0.2324	41.9357	6.618e-05	0.0001859	True
chr21	19518433	19518718	9	0.721	0.9762	0.2552	44.8523	2.931e-07	2.836e-06	True
chr21	19538001	19538583	5	0.704	0.9573	0.2533	18.6869	0.001143	0.001607	True
chr21	19539905	19540564	6	0.7677	0.9765	0.2088	42.6435	6.583e-05	0.0001857	True
chr21	19565740	19566803	10	0.605	0.9425	0.3375	28.0866	1.614e-06	1.12e-05	True
chr21	19616844	19617099	8	0.1586	0.0332	-0.1254	21.2342	0.0008589	0.001268	True
chr21	19617112	19617482	35	0.2277	0.0405	-0.1872	22.5624	5.606e-15	3.703e-13	True
chr21	19617504	19617618	18	0.2763	0.0375	-0.2388	72.3817	4.222e-14	2.618e-12	True
chr21	19617668	19617933	19	0.1368	0.0056	-0.1312	145.2533	6.068e-20	6.147e-18	True
chr21	19618002	19618098	6	0.2252	0.0362	-0.189	35.1697	0.0003662	0.0006656	True
chr21	19632172	19633233	6	0.7385	0.9936	0.2551	97.1976	6.571e-08	8.426e-07	True
chr21	19637006	19637690	7	0.6545	0.9874	0.3329	67.5087	2.45e-08	3.632e-07	True
chr21	19639511	19640072	6	0.54	0.9506	0.4107	37.4759	1.772e-05	6.867e-05	True
chr21	19651025	19652774	18	0.6639	0.959	0.2951	16.2634	4.649e-10	1.149e-08	True
chr21	19665332	19666037	7	0.318	0.8167	0.4987	19.3829	0.001174	0.001639	True
chr21	19671840	19672178	7	0.5567	0.9374	0.3807	37.8775	5.476e-06	2.83e-05	True
chr21	19685391	19686351	6	0.5282	0.9704	0.4422	34.8683	7.465e-06	3.647e-05	True
chr21	19693910	19694408	13	0.4888	0.9045	0.4157	16.2148	9.307e-06	4.318e-05	True
chr21	19702483	19702668	6	0.6405	0.9529	0.3125	22.1845	0.0002152	0.0004451	True
chr21	19713216	19713686	5	0.4599	0.9798	0.5199	103.1604	1.525e-06	1.07e-05	True
chr21	19721121	19722129	7	0.1992	0.9048	0.7056	50.3565	2.012e-06	1.338e-05	True
chr21	19723785	19724536	6	0.3406	0.8695	0.5289	28.9324	0.0001328	0.000309	True
chr21	19731364	19731662	6	0.5296	0.9502	0.4207	31.2178	5.21e-05	0.0001552	True
chr21	19738129	19738212	6	0.7742	0.9915	0.2173	56.2384	8.653e-07	6.753e-06	True
chr21	19763824	19764214	5	0.5335	0.958	0.4245	28.2389	0.0001561	0.0003498	True
chr21	19764475	19765425	8	0.3995	0.8226	0.4231	34.286	5.75e-05	0.0001677	True
chr21	19791837	19792066	5	0.4021	0.8875	0.4854	18.3643	0.001042	0.00149	True
chr21	19795010	19795424	5	0.4704	0.8668	0.3964	27.0091	0.001989	0.002533	True
chr21	19824747	19825051	6	0.5403	0.9749	0.4346	56.7591	2.287e-06	1.485e-05	True
chr21	19847658	19848062	7	0.5618	0.9197	0.3578	26.5603	6.54e-05	0.0001852	True
chr21	19869695	19870007	5	0.316	0.9709	0.655	126.8516	3.173e-06	1.932e-05	True
chr21	19873205	19873644	5	0.3079	0.8405	0.5325	58.821	3.994e-06	2.275e-05	True
chr21	19884703	19885470	5	0.3633	0.8333	0.47	27.0294	0.0001217	0.0002888	True
chr21	19889668	19890577	10	0.4462	0.7811	0.3349	15.2992	0.0003386	0.0006264	True
chr21	19922985	19923216	5	0.1036	0.9301	0.8266	21.1317	0.0003186	0.0005986	True
chr21	19962784	19963657	7	0.4194	0.9034	0.484	31.043	1.395e-05	5.793e-05	True
chr21	19983651	19984698	5	0.506	0.7834	0.2774	34.1876	0.0002029	0.000424	True
chr21	20024276	20024317	5	0.7613	0.9931	0.2319	189.7204	4.364e-07	3.982e-06	True
chr21	20041626	20042579	8	0.4268	0.944	0.5172	33.2233	1.706e-06	1.176e-05	True
chr21	20055226	20055988	7	0.4578	0.9503	0.4924	36.1698	4.641e-06	2.541e-05	True
chr21	20059267	20059734	5	0.1922	0.7908	0.5986	27.8402	0.0003375	0.0006254	True
chr21	20061187	20062260	10	0.3331	0.8108	0.4777	15.9148	5.115e-05	0.0001536	True
chr21	20112343	20113009	5	0.3945	0.8734	0.4789	32.7696	0.0006203	0.0009898	True
chr21	20114117	20114615	5	0.6557	0.9922	0.3366	72.1619	7.026e-07	5.755e-06	True
chr21	20120518	20121091	6	0.5167	0.8998	0.383	15.7635	0.001081	0.001538	True
chr21	20122888	20123506	7	0.4984	0.9472	0.4489	33.9502	3.228e-06	1.962e-05	True
chr21	20124425	20125102	7	0.4523	0.9789	0.5266	89.2682	4.653e-09	8.126e-08	True
chr21	20131563	20131814	5	0.6361	0.9486	0.3125	22.9624	0.000668	0.001041	True
chr21	20135302	20136093	7	0.2078	0.822	0.6142	20.2982	0.000171	0.0003746	True
chr21	20137417	20138198	12	0.5595	0.9271	0.3676	21.8253	2.256e-07	2.293e-06	True
chr21	20152345	20152834	9	0.5221	0.9566	0.4344	25.2047	4.458e-07	4.044e-06	True
chr21	20156904	20157167	5	0.4802	0.9281	0.4478	19.5531	0.000655	0.001028	True
chr21	20158037	20158330	5	0.2739	0.906	0.6322	30.1314	0.000185	0.0003953	True
chr21	20164196	20164253	5	0.6852	0.9936	0.3084	159.5062	9.965e-08	1.172e-06	True
chr21	20250389	20250578	7	0.4825	0.9051	0.4226	42.4593	6.331e-05	0.0001803	True
chr21	20255950	20256419	6	0.4031	0.8363	0.4332	17.1827	0.0002461	0.0004928	True
chr21	20282251	20283284	6	0.2734	0.8505	0.5771	18.2088	0.001082	0.001539	True
chr21	20289078	20290047	12	0.4623	0.8535	0.3912	16.7716	3.247e-06	1.969e-05	True
chr21	20322898	20323701	6	0.5423	0.9373	0.395	17.3361	0.0002666	0.0005244	True
chr21	20339086	20339285	7	0.6661	0.9663	0.3003	21.879	1.949e-05	7.414e-05	True
chr21	20359365	20359690	7	0.6266	0.8975	0.2709	22.2046	0.0003836	0.0006874	True
chr21	20365181	20365284	6	0.6456	0.9519	0.3063	37.5301	8.199e-05	0.000218	True
chr21	20393119	20393472	6	0.5916	0.946	0.3544	22.1214	0.0002045	0.0004264	True
chr21	20393503	20393753	6	0.7459	0.9806	0.2346	49.445	1.56e-05	6.255e-05	True
chr21	20420564	20421113	5	0.2004	0.4984	0.298	21.0288	0.001347	0.001841	True
chr21	20448894	20449563	9	0.6277	0.9531	0.3254	34.0018	2.142e-06	1.406e-05	True
chr21	20450173	20450480	5	0.2458	0.8995	0.6537	22.7817	0.001202	0.001672	True
chr21	20451953	20452600	6	0.497	0.8878	0.3908	19.3945	0.0006456	0.001019	True
chr21	20452787	20453396	5	0.5319	0.9466	0.4147	23.1495	0.0002496	0.0004973	True
chr21	20455165	20455927	5	0.6275	0.9082	0.2807	15.244	0.004566	0.005201	True
chr21	20456214	20457000	9	0.2233	0.7941	0.5709	20.3273	3.074e-05	0.0001035	True
chr21	20462042	20462353	6	0.5059	0.9148	0.4089	19.289	0.0002351	0.0004775	True
chr21	20500641	20500694	5	0.624	0.9867	0.3627	39.9151	7.395e-06	3.624e-05	True
chr21	20502557	20503156	5	0.4564	0.8742	0.4179	34.4364	0.001146	0.001609	True
chr21	20527606	20528632	5	0.7173	0.9739	0.2567	24.2989	0.0003383	0.0006264	True
chr21	20528761	20528961	5	0.4428	0.9088	0.4659	26.842	0.0003106	0.0005871	True
chr21	20538242	20539061	5	0.307	0.8994	0.5924	15.4411	0.002357	0.00293	True
chr21	20571861	20572173	5	0.5413	0.9582	0.4169	16.9902	0.0002462	0.0004928	True
chr21	20576177	20576893	8	0.477	0.928	0.451	19.5831	2.311e-05	8.4e-05	True
chr21	20589440	20589834	5	0.5182	0.9368	0.4185	17.5149	0.0006864	0.001063	True
chr21	20596589	20596661	5	0.6629	0.9658	0.3029	16.1078	0.000444	0.0007606	True
chr21	20608926	20609181	5	0.4228	0.9412	0.5184	19.9124	0.0002906	0.0005604	True
